,EMPRESA_ID,RAZAO SOCIAL,NOME FANTASIA,ENDERECO,ENDERECO NUMERO,ENDERECO COMPLEMENTO,BAIRRO,CIDADE,ESTADO,CEP,TAMANHO,CAPITAL SOCIAL,FATURAMENTO,FUNCIONARIOS,DATA DE ABERTURA,TIPO DE UNIDADE,SITUACAO,ATIVIDADE PRINCIPAL,NATUREZA JURIDICA,TELEFONE 1,TELEFONE 2,TELEFONE 3,TELEFONE 4,TELEFONE 5,WEBSITE 1,WEBSITE 2,WEBSITE 3,WEBSITE 4,WEBSITE 5
2362,EMPRESA_ID_3124,EMPRESA 3124,NOME FANTASIA 3124,ENDERECO 3124,NUMERO 3124,COMPLEMENTO 3124,BAIRRO 3124,PORTO ALEGRE,RS,CEP 3124,PEQUENO,R$ 10 M - R$ 50 M,330000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Fabricação de produtos de panificação industrial,Empresa Privada,TELEFONE 1_EMPRESA_3124,TELEFONE 2_EMPRESA_3124,TELEFONE 3_EMPRESA_3124,TELEFONE 4_EMPRESA_3124,,,,,,
2363,EMPRESA_ID_3125,EMPRESA 3125,NOME FANTASIA 3125,ENDERECO 3125,NUMERO 3125,COMPLEMENTO 3125,BAIRRO 3125,CANELA,RS,CEP 3125,MEDIO,R$ 51K - R$ 250 K,60000100.0,11 - 50,01/01/1970,MATRIZ,ATIVA,Agências de viagens,Empresa Privada,TELEFONE 1_EMPRESA_3125,TELEFONE 2_EMPRESA_3125,TELEFONE 3_EMPRESA_3125,TELEFONE 4_EMPRESA_3125,TELEFONE 5_EMPRESA_3125,WEBSITE 1_EMPRESA_3125,WEBSITE 2_EMPRESA_3125,WEBSITE 3_EMPRESA_3125,WEBSITE 4_EMPRESA_3125,WEBSITE 5_EMPRESA_3125
2364,EMPRESA_ID_3126,EMPRESA 3126,NOME FANTASIA 3126,ENDERECO 3126,NUMERO 3126,COMPLEMENTO 3126,BAIRRO 3126,CANOAS,RS,CEP 3126,MICRO,"R$ 501 - R$ 2,5 M",130000100.0,11 - 50,02/17/1983,MATRIZ,ATIVA,"Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes",Empresa Privada,TELEFONE 1_EMPRESA_3126,TELEFONE 2_EMPRESA_3126,,,,,,,,
2365,EMPRESA_ID_3127,EMPRESA 3127,NOME FANTASIA 3127,ENDERECO 3127,NUMERO 3127,COMPLEMENTO 3127,BAIRRO 3127,PELOTAS,RS,CEP 3127,MICRO,R$ 51K - R$ 250 K,800000100.0,51 - 200,01/15/1990,FILIAL,ATIVA,Comércio varejista de materiais de construção não especificados anteriormente,Empresa Privada,TELEFONE 1_EMPRESA_3127,,,,,,,,,
2366,EMPRESA_ID_3128,EMPRESA 3128,NOME FANTASIA 3128,ENDERECO 3128,NUMERO 3128,COMPLEMENTO 3128,BAIRRO 3128,PORTO ALEGRE,RS,CEP 3128,PEQUENO,"R$ 501 - R$ 2,5 M",5500000100.0,201 - 500,05/27/1985,MATRIZ,ATIVA,Comércio atacadista de medicamentos e drogas de uso humano,Empresa Privada,TELEFONE 1_EMPRESA_3128,TELEFONE 2_EMPRESA_3128,TELEFONE 3_EMPRESA_3128,,,WEBSITE 1_EMPRESA_3128,,,,
2367,EMPRESA_ID_3129,EMPRESA 3129,NOME FANTASIA 3129,ENDERECO 3129,NUMERO 3129,COMPLEMENTO 3129,BAIRRO 3129,PORTO ALEGRE,RS,CEP 3129,PEQUENO,R$ 251 - R$ 500 K,1400000100.0,51 - 200,06/25/2008,MATRIZ,ATIVA,Comércio varejista de material elétrico,Empresa Privada,TELEFONE 1_EMPRESA_3129,TELEFONE 2_EMPRESA_3129,TELEFONE 3_EMPRESA_3129,TELEFONE 4_EMPRESA_3129,TELEFONE 5_EMPRESA_3129,WEBSITE 1_EMPRESA_3129,WEBSITE 2_EMPRESA_3129,,,
2368,EMPRESA_ID_313,EMPRESA 313,NOME FANTASIA 313,ENDERECO 313,NUMERO 313,COMPLEMENTO 313,BAIRRO 313,SAO PAULO,SP,CEP 313,MICRO,"R$ 501 - R$ 2,5 M",18000100.0,4 - 10,06/28/2007,FILIAL,ATIVA,Comércio atacadista de ferragens e ferramentas,Empresa Privada,TELEFONE 1_EMPRESA_313,TELEFONE 2_EMPRESA_313,TELEFONE 3_EMPRESA_313,,,,,,,
2369,EMPRESA_ID_3130,EMPRESA 3130,NOME FANTASIA 3130,ENDERECO 3130,NUMERO 3130,COMPLEMENTO 3130,BAIRRO 3130,PORTO ALEGRE,RS,CEP 3130,MICRO,"R$ 501 - R$ 2,5 M",400000100.0,51 - 200,07/31/1967,MATRIZ,ATIVA,"Manutenção e reparação de aeronaves, exceto a manutenção na pista",Empresa Privada,TELEFONE 1_EMPRESA_3130,TELEFONE 2_EMPRESA_3130,TELEFONE 3_EMPRESA_3130,TELEFONE 4_EMPRESA_3130,TELEFONE 5_EMPRESA_3130,WEBSITE 1_EMPRESA_3130,WEBSITE 2_EMPRESA_3130,,,
2370,EMPRESA_ID_3131,EMPRESA 3131,NOME FANTASIA 3131,ENDERECO 3131,NUMERO 3131,COMPLEMENTO 3131,BAIRRO 3131,RIO GRANDE,RS,CEP 3131,DEMAIS,R$ 251 - R$ 500 K,60000100.0,11 - 50,06/29/2001,FILIAL,BAIXADA,Comissaria de despachos,Empresa Privada,TELEFONE 1_EMPRESA_3131,,,,,,,,,
2371,EMPRESA_ID_3132,EMPRESA 3132,NOME FANTASIA 3132,ENDERECO 3132,NUMERO 3132,COMPLEMENTO 3132,BAIRRO 3132,PORTO ALEGRE,RS,CEP 3132,PEQUENO,"R$ 501 - R$ 2,5 M",36000100.0,11 - 50,03/20/1998,MATRIZ,ATIVA,Serviços de prótese dentária,Empresa Privada,TELEFONE 1_EMPRESA_3132,TELEFONE 2_EMPRESA_3132,TELEFONE 3_EMPRESA_3132,,,WEBSITE 1_EMPRESA_3132,,,,
